is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
7019U_411552,Weight Averaged Molecular Weight,343727,
7019X_411553,Mooney Viscosity,49,
7019X_411553,Mooney Stress Relaxation,4.169,
7019X_411553,Styrene_Cont,21.4,
7019X_411553,Cis_Cont,13.4,
7019X_411553,Trans_Cont,15.4,
7019X_411553,Vinyl_Cont,49.8,
7019X_411553,Glass Transition Temperature,-22.6,
7019X_411553,Number Averaged Molecular Weight,166409,
7019X_411553,Weight Averaged Molecular Weight,205170,
7022D_411554,Mooney Viscosity,57,
7022D_411554,Mooney Stress Relaxation,1.191,
7022D_411554,Styrene_Cont,21.0,
7022D_411554,Cis_Cont,13.4,
7022D_411554,Trans_Cont,15.6,
7022D_411554,Vinyl_Cont,50.0,
7022D_411554,Glass Transition Temperature,-25.0,
7022D_411554,Number Averaged Molecular Weight,258386,
7022D_411554,Weight Averaged Molecular Weight,378848,
7022H_411555,Mooney Viscosity,74,
7022H_411555,Mooney Stress Relaxation,1.729,
7022H_411555,Styrene_Cont,20.9,
7022H_411555,Cis_Cont,13.6,
7022H_411555,Trans_Cont,15.9,
7022H_411555,Vinyl_Cont,49.5,
7022H_411555,Glass Transition Temperature,-22.7,
7022H_411555,Number Averaged Molecular Weight,266045,
7022H_411555,Weight Averaged Molecular Weight,300674,
7024D_411556,Mooney Viscosity,75,
7024D_411556,Mooney Stress Relaxation,1.061,
7024D_411556,Styrene_Cont,20.9,
7024D_411556,Cis_Cont,14.3,
7024D_411556,Trans_Cont,16.0,
7024D_411556,Vinyl_Cont,48.8,
7024D_411556,Glass Transition Temperature,-24.3,
7024D_411556,Number Averaged Molecular Weight,415630,
7024D_411556,Weight Averaged Molecular Weight,878098,
7024A_411557,Mooney Viscosity,64,
7024A_411557,Mooney Stress Relaxation,1.763,
7024A_411557,Styrene_Cont,21.2,
7024A_411557,Cis_Cont,13.3,
7024A_411557,Trans_Cont,14.9,
7024A_411557,Vinyl_Cont,50.6,
7024A_411557,Glass Transition Temperature,-25.4,
7024A_411557,Number Averaged Molecular Weight,283734,
7024A_411557,Weight Averaged Molecular Weight,323588,
7032E_418512,Mooney Viscosity,48,
7032E_418512,Mooney Stress Relaxation,1.234,
7032E_418512,Styrene_Cont,11.2,
7032E_418512,Cis_Cont,24.0,
7032E_418512,Trans_Cont,33.4,
7032E_418512,Vinyl_Cont,31.4,
7032E_418512,Glass Transition Temperature,-60.9,
7032E_418512,Number Averaged Molecular Weight,232637,
7032E_418512,Weight Averaged Molecular Weight,438842,
7032E_418513,Mooney Viscosity,76,
7032E_418513,Mooney Stress Relaxation,0.851,
7032E_418513,Styrene_Cont,11.2,
7032E_418513,Cis_Cont,24.0,
7032E_418513,Trans_Cont,33.4,
7032E_418513,Vinyl_Cont,31.4,
7032E_418513,Glass Transition Temperature,-59.1,
7032E_418513,Number Averaged Molecular Weight,296765,
7032E_418513,Weight Averaged Molecular Weight,581980,
7032E_418514,Mooney Viscosity,78,
7032E_418514,Mooney Stress Relaxation,0.906,
7032E_418514,Styrene_Cont,11.2,
7032E_418514,Cis_Cont,24.0,
7032E_418514,Trans_Cont,33.4,
7032E_418514,Vinyl_Cont,31.4,
7032E_418514,Glass Transition Temperature,-60.4,
7032E_418514,Number Averaged Molecular Weight,262706,
7032E_418514,Weight Averaged Molecular Weight,532078,
7021G_418516,Mooney Viscosity,79,
7021G_418516,Mooney Stress Relaxation,1.034,
7021G_418516,Styrene_Cont,10.6,
7021G_418516,Cis_Cont,24.3,
7021G_418516,Trans_Cont,33.4,
7021G_418516,Vinyl_Cont,31.6,
7021G_418516,Glass Transition Temperature,-61.4,
7021G_418516,Number Averaged Molecular Weight,294884,
7021G_418516,Weight Averaged Molecular Weight,462943,
7021H_418517,Mooney Viscosity,73,
7021H_418517,Mooney Stress Relaxation,0.813,
7021H_418517,Styrene_Cont,10.5,
7021H_418517,Cis_Cont,25.0,
7021H_418517,Trans_Cont,34.0,
7021H_418517,Vinyl_Cont,30.5,
7021H_418517,Glass Transition Temperature,-63.5,
7021H_418517,Number Averaged Molecular Weight,357981,
7021H_418517,Weight Averaged Molecular Weight,565682,
7032F_418534,Mooney Viscosity,57,
7032F_418534,Mooney Stress Relaxation,1.263,
7032F_418534,Styrene_Cont,11.0,
7032F_418534,Cis_Cont,23.8,
7032F_418534,Trans_Cont,33.0,
7032F_418534,Vinyl_Cont,32.2,
7032F_418534,Glass Transition Temperature,-60.4,
7032F_418534,Number Averaged Molecular Weight,249634,
7032F_418534,Weight Averaged Molecular Weight,466838,
7032F_418535,Mooney Viscosity,91,
7032F_418535,Mooney Stress Relaxation,0.769,
7032F_418535,Styrene_Cont,11.0,
7032F_418535,Cis_Cont,23.8,
7032F_418535,Trans_Cont,33.0,
7032F_418535,Vinyl_Cont,32.2,
7032F_418535,Glass Transition Temperature,-59.7,
7032F_418535,Number Averaged Molecular Weight,314461,
7032F_418535,Weight Averaged Molecular Weight,6585011,
7032F_418536,Mooney Viscosity,111,
7032F_418536,Mooney Stress Relaxation,0.728,
7032F_418536,Styrene_Cont,11.0,
7032F_418536,Cis_Cont,23.8,
7032F_418536,Trans_Cont,33.0,
7032F_418536,Vinyl_Cont,32.2,
7032F_418536,Glass Transition Temperature,-61.1,
7032F_418536,Number Averaged Molecular Weight,325311,
7032F_418536,Weight Averaged Molecular Weight,667608,
7032N_427776,Mooney Viscosity,94,
7032N_427776,Mooney Stress Relaxation,0.873,
7032N_427776,Styrene_Cont,11.3,
7032N_427776,Cis_Cont,25.7,
7032N_427776,Trans_Cont,33.4,
7032N_427776,Vinyl_Cont,29.6,
7032N_427776,Glass Transition Temperature,-60.1,
7032N_427776,Number Averaged Molecular Weight,280000,
7032N_427776,Weight Averaged Molecular Weight,451000,
7032O_427777,Mooney Viscosity,76,
7032O_427777,Mooney Stress Relaxation,0.94,
7032O_427777,Styrene_Cont,11.4,
7032O_427777,Cis_Cont,26.0,
7032O_427777,Trans_Cont,33.0,
7032O_427777,Vinyl_Cont,29.6,
7032O_427777,Glass Transition Temperature,-59.7,
7032O_427777,Number Averaged Molecular Weight,240000,
7032O_427777,Weight Averaged Molecular Weight,320000,
7039Z_428661,Mooney Viscosity,59,
7039Z_428661,Mooney Stress Relaxation,2.389,
7039Z_428661,Styrene_Cont,20.2,
7039Z_428661,Cis_Cont,13.8,
7039Z_428661,Trans_Cont,16.2,
7039Z_428661,Vinyl_Cont,49.8,
7039Z_428661,Glass Transition Temperature,-24.6,
7039Z_428661,Number Averaged Molecular Weight,292879,
7039Z_428661,Weight Averaged Molecular Weight,338836,
7039M_428662,Mooney Viscosity,76,
7039M_428662,Mooney Stress Relaxation,1.631,
7039M_428662,Styrene_Cont,21.2,
7039M_428662,Cis_Cont,13.5,
7039M_428662,Trans_Cont,16.4,
7039M_428662,Vinyl_Cont,48.9,
7039M_428662,Glass Transition Temperature,-24.1,
7039M_428662,Number Averaged Molecular Weight,262852,
7039M_428662,Weight Averaged Molecular Weight,317948,
7039O_428663,Mooney Viscosity,86,
7039O_428663,Mooney Stress Relaxation,1.045,
7039O_428663,Styrene_Cont,21.2,
7039O_428663,Cis_Cont,13.0,
7039O_428663,Trans_Cont,15.7,
7039O_428663,Vinyl_Cont,50.1,
7039O_428663,Glass Transition Temperature,-23.0,
7039O_428663,Number Averaged Molecular Weight,258623,
7039O_428663,Weight Averaged Molecular Weight,538669,
7039P_428664,Mooney Viscosity,95,
7039P_428664,Mooney Stress Relaxation,0.95,
